Reference	LeftContext	Pivot	RightContext
GPT_NEG_tokenise, 703	， 经常 需要 多次 按键 。 房间 空气流通	差	， 有 轻微 闷热 感 。 前台 服务 语气 冷淡 ， 缺乏
GPT_NEG_tokenise, 731	用力 ， 不 顺滑 。 前台 态度 不算	差	， 但 明显 缺乏 解决问题 的 能力 。 被子 有 一块 明显
GPT_NEG_tokenise, 819	经常 需要 多次 按键 。 房间 空气 循环	差	， 有 轻微 闷味 。 前台 服务态度 比较 冷淡 ， 缺乏 耐心
GPT_NEG_tokenise, 885	能 听 清 内容 ， 隐私 性 很	差	。 停车场 入口 标识 太小 ， 第一次 开车 很 容易 错过 。
GPT_NEG_tokenise, 918	有 污渍 和 磨损 痕迹 。 走廊 空气流通	差	， 有 一股 长期 积存 的 气味 。 早餐 补货 不 及时
GPT_NEG_tokenise, 962	， 盖起来 不太 舒服 。 房间 隔音 效果	差	， 外面 声音 清晰 可 听 。 停车场 指示 不 清楚 ，
GPT_NEG_tokenise, 1008	反应 迟缓 ， 经常 失灵 。 房间 空气流通	差	， 有 轻微 闷热 感 。 前台 服务态度 一般 ， 缺乏 耐心
GPT_NEG_tokenise, 1245	还要 额外 去 要 。 房间 空气 循环	差	， 长时间 待 着 会 觉得 憋闷 。 电视 遥控器 灵敏度 很
GPT_NEG_tokenise, 1330	还 只能 开 一条 小缝 ， 通风 特别	差	。 最 离谱 的 是 晚上 十一点多 准备 洗澡 的 时候 ，
GPT_NEG_tokenise, 1331	原本 以为 是 家 连锁 酒店 ， 再	差	也 不会 差到 哪里 去 ， 结果 这次 真的 刷新 了 我
GPT_NEG_tokenise, 1335	拍 得 特别 好 ， 实际 情况 特别	差	。 刚到 的 时候 外观 看着 还 可以 ， 但进 了 电梯
GPT_NEG_tokenise, 1339	的 ， 进来 之后 才 发现 细节 特别	差	， 比如 走廊 有股 说不清 的 味道 ， 像 潮湿 又 混
GPT_NEG_tokenise, 1356	主动 回来 的 类型 ， 各 方面 都	差	一点点 ， 但 叠加 起来 就 变成 明显 的 不 满意 这次
GPT_NEG_tokenise, 1375	了 入住 的 时候 前台 态度 其实 不算	差	， 但 效率 真的 很 低 ， 一个 简单 的 入住 信息
GPT_NEG_tokenise, 1392	不 太 友好 整体 入住 流程 说不上 特别	差	， 但 就是 很多 地方 不 顺畅 ， 小 问题 叠 在
GPT_NEG_tokenise, 1399	一直 要 调整 水温 ， 体验 感 很	差	房间 空气 不太好 ， 一 进门 就 有点 闷 的 感觉 ，
GPT_NEG_tokenise, 1426	断断续续 根本 睡 不 踏实 房间 卫生 说不上	差	但 也 绝对 不 细致 ， 床头柜 下面 居然 还有 上 一位
GPT_NEG_tokenise, 1445	残留 ， 没有 擦 到位 ， 看起来 就	差	那么 一点点 椅子 坐下 去 会 轻微 晃动 ， 不是 很 严重
GPT_NEG_tokenise, 1517	澡水 都 快 漫到 脚踝 了 窗帘 遮光	差	， 早上 六点 就 被 亮醒 ， 根本 没法 睡懒觉 空调 出风
GPT_NEG_tokenise, 1637	速度慢 ， 用 一会儿 就 积水 房间 空气流通	差	， 待久 了 会 有点 闷头 电梯 等候 时间 不 稳定 ，
GPT_NEG_tokenise, 1680	早上 天一亮 就 完全 醒 了 房间 空气流通	差	， 开 空调 也 还是 闷 退房 时 账单 多出 一项 不明
GPT_NEG_tokenise, 1849	实际 用处 ！ ！ ！ 前台 服务态度 说不上	差	， 但 效率 是 真的 慢 ， 一个 问题 要 磨 很
GPT_NEG_tokenise, 1897	， 只能 草草 冲完 赶紧 出来 服务态度 说不上	差	， 但 完全 没有 解决问题 的 能力 ， 空调 坏 了 打电话
GPT_NEG_tokenise, 1908	， 细节 卫生 完全 不及格 电梯 体验 特别	差	， 高峰期 等 半天 不 来 ， 好不容易 来 了 还 满员
GPT_NEG_tokenise, 2027	有点 旧 … 不太敢 细想 纸巾 质量 也	差	… 一 抽 就 破 电梯 按钮 不灵 … 要 狂 按
GPT_NEG_tokenise, 2065	细 想 纸巾 一扯 就 烂 … 质量	差	电梯 按钮 要 按 好 多次 … 才 有 反应 房间 布局
GPT_NEG_tokenise, 2083	还 得 趴 地上 找 角度 服务 说不上	差	， 但 效率 真的 低 ， 打电话 说 空调 有 问题 等
GPT_NEG_tokenise, 2151	门口 尴尬 半天 手机信号 在 房间 里 特别	差	， 基本 断联 sb 真的 服 了 ， 这 什么 酒店 ，
GPT_NEG_tokenise, 2224	， 扫得 很 敷衍 纸巾 质量 也 很	差	， 一 抽 就 破 衣柜 里面 还 有点 怪味 ， 不敢
GPT_NEG_tokenise, 2266	住 了 一晚 ， 房间 隔音 真的 太	差	， 走廊 说话 听得 一清二楚 ， 根本 没法 好好 休息 。 带
GPT_NEG_tokenise, 2276	带 孩子 的 家庭 住客 觉得 隔音 太	差	， 孩子 晚上 被 吵醒 好 几次 ， 非常 崩溃 。 作为
GPT_NEG_tokenise, 2308	的 家庭 客人 表示 ， 房间 隔音 太	差	， 孩子 一哭 隔壁 都 能 听见 ， 很 尴尬 。 深夜
GPT_NEG_tokenise, 2599	， 清洁 不 到位 。 走廊 隔音 效果	差	， 夜里 行李 拖动 声 很 明显 。 房间 温控 系统 不灵敏
GPT_NEG_tokenise, 2639	刷 。 摄影 爱好者 觉得 房间 光线 太	差	， 拍 出来 的 照片 完全 不能 用 。 家庭 游客 反馈
GPT_NEG_tokenise, 2647	忽冷忽热 。 独行 旅客 觉得 房间 隔音 太	差	， 隔壁 说话 都 能 听 清楚 。 旅游 博主 觉得 整体
GPT_NEG_tokenise, 2770	的 人 感觉 就是 价格 和 体验 之间	差	了 一个 层级 。 外国 客人 说 沟通 不是 不能 沟通 ，
GPT_NEG_tokenise, 2783	醒来 肩颈会 有点 紧 。 整体 体验 说不上	差	到极点 ， 但 就是 一直 在 提醒 你 它 还有 很多 没
GPT_NEG_tokenise, 2792	家庭 说 浴室 入口 那 一小 段 高度	差	让 人 特别 紧张 。 短住 商务 客 醒来 后 觉得 床
GPT_NEG_tokenise, 2986	不 掉 。 我 感觉 房间 隔音 特别	差	， 隔壁 说话 我 听 得 一清二楚 。 我 晚上 根本 没睡
GPT_NEG_tokenise, 3284	长途飞行 后 的 旅客 ， 发现 房间 空气流通	差	， 有 明显 闷感 。 我 作为 一名 内容 创作者 ， 发现
GPT_NEG_tokenise, 3439	随便 选 的 ， 结果 房间 比 预期	差	不少 ， 灯光 暗 ， 走廊 味道 也 不 太 舒服 。
GPT_NEG_tokenise, 3458	订 的 ， 结果 房间 隔音 比 想象	差	很多 ， 隔壁 说话 听得 清 。 空调 运转 声音 偏 大
GPT_NEG_tokenise, 3481	湿 了 一小片 ， 挺烦 说实话 比 预期	差	不少 ， 本来 想着 随便 住 一晚 ， 结果 各种 小 问题
GPT_NEG_tokenise, 3516	住 ， 结果 床 很 软 但 支撑	差	， 一 躺 就 陷 ， 腰 不 太 舒服 ， 浴室
GPT_NEG_tokenise, 3532	才 订 的 ， 结果 实际 隔音 太	差	， 楼上 走路 都 听见 ， 空调 还有 异响 ， 像 小
GPT_NEG_tokenise, 3533	久 ， 中间 还 忽冷忽热 ， 床垫 支撑	差	， 睡 一晚 腰酸 ， 窗外 还有 施工 声 ， 算了 懒得
GPT_NEG_tokenise, 3540	想着 省事 住 一晚 ， 结果 隔音 太	差	， 隔壁 电视 声 特别 清楚 ， 窗帘 遮不住 光 ， 早上
GPT_NEG_tokenise, 3547	吃 不 知道 怎么样 但 睡 得 很	差	看 评分 还行 才 来 的 ， 结果 电视 打不开 ， 遥控器
GPT_NEG_tokenise, 3638	出差 随便 选 的 ， 结果 比 想象	差	不少 。 空调 声音 很大 还 不 制冷 ， 像 拖拉机 一样
GPT_NEG_tokenise, 3682	一会 烫 一会 凉 。 前一晚 睡得 很	差	， 早上 起来 本来 想 洗个 澡 清醒 一下 ， 结果 越洗
HUM_cat-hotel_pol-NEG_tokenise, 5	月 31 日 还 没有 早餐! 周围环境	差	, 房间 设施 陈旧. 房间 小. 服务员 懒散. 去
HUM_cat-hotel_pol-NEG_tokenise, 7	我们 出差 的 地方 对面 。 服务 超级	差	， 在 门口 停车 装 行李 被 赶走 ， 然后 别的 什么
HUM_cat-hotel_pol-NEG_tokenise, 10	！ ！ 应急 住 下 ， 条件 比较	差	服务 不好 看不到 海 ， 房间 也 比较 简陋 ， 装修 不好
HUM_cat-hotel_pol-NEG_tokenise, 13	， 2 天 竟然 要 8802. 卫生	差	， 走廊 铺 着 一条条 白布 3. 订单 确认 晚 ，
HUM_cat-hotel_pol-NEG_tokenise, 14	店 竟然 说 取消 了 订单 ！ 真的	差	， 这家 酒店 实在 是 服务 有 问题 ， 说染 头发 掉色
HUM_cat-hotel_pol-NEG_tokenise, 14	， 并 不是 非常 理想 ， 房间 隔音	差	， 管理 参差不齐 ， 酒店 位置 差 ， 加上 打 的 费用
HUM_cat-hotel_pol-NEG_tokenise, 14	隔音 差 ， 管理 参差不齐 ， 酒店 位置	差	， 加上 打 的 费用 一样 ！ 就是 靠 服务员 说 几句
HUM_cat-hotel_pol-NEG_tokenise, 29	且 让 人 感觉 脏 ， 隔音 效果	差	， 能 听到 走廊 的 人 讲话 ， 走廊 光线 昏暗 ，
HUM_cat-hotel_pol-NEG_tokenise, 33	洗澡 水流 小 的 要命 ， 设施 太	差	。 真心 不 懂 携程 把 他 放入 同 四星 的 酒店
HUM_cat-hotel_pol-NEG_tokenise, 37	窗户 都 没有 ， 房间 隔音 效果 太	差	， 晚上 老 听见 隔壁 的 说话声 和 隔壁 洗手间 的 冲
HUM_cat-hotel_pol-NEG_tokenise, 47	。 其他 都 不错 ， 就是 隔音 太	差	， 几乎 相当于 没 间隔 。 隔壁 住 的 是 小 情侣
HUM_cat-hotel_pol-NEG_tokenise, 49	的 一间 ， 服务态度 和 质量 都 很	差	， 房间 很小 ， 早餐 连点 肉 都 没有 ， 9 ：
HUM_cat-hotel_pol-NEG_tokenise, 52	贵 ， 周边 餐饮 不 方便 ， 性价比	差	！ 一个 破落 的 酒店 、 开车 路过 不得不 住 ！ 奇怪
HUM_cat-hotel_pol-NEG_tokenise, 58	是 垃圾 ， 设施 陈旧 ， 隔音 效果	差	， 门外 走廊 内 的 脚步声 在 里面 听得 很 清晰 ，
HUM_cat-hotel_pol-NEG_tokenise, 77	好 比较 老 一般 般的 酒店 ， 太	差	， 不会 再住 洒店 的 房间 太小, 设计 也 不合理 。
HUM_cat-hotel_pol-NEG_tokenise, 78	的 费用 后 ， 与 五星级 的 酒店	差	不了 多少 。 我 要说 超级 差 ， 没 窗户 ， 服务
HUM_cat-hotel_pol-NEG_tokenise, 79	酒店 差 不了 多少 。 我 要说 超级	差	， 没 窗户 ， 服务 差 ， 我 第一次 给 差评 ，
HUM_cat-hotel_pol-NEG_tokenise, 79	要说 超级 差 ， 没 窗户 ， 服务	差	， 我 第一次 给 差评 ， 就 像 在 坐牢 一样 的
HUM_cat-hotel_pol-NEG_tokenise, 86	有 很多 外国游客 去 的 。 服务 相当	差	， 缺乏 必要 的 职业 素养 ， 是 遇到 的 最差 的
HUM_cat-hotel_pol-NEG_tokenise, 92	没有 车 的话 ， 价格 贵 ， 位置	差	， 我 第一次 遇上 连车 都 不 帮 你 叫 的 酒店
HUM_cat-hotel_pol-NEG_tokenise, 96	不能 因为 五折 就 随便 安排 一个 格局	差	， 没有 浴缸 ， 又 在 最 角落 要 走 N 个
HUM_cat-hotel_pol-NEG_tokenise, 100	人才 开, 服务 很差 没见 过 这么	差	的 四星 酒店! 建议 大家 以后 千万别 住, 离 银滩
HUM_cat-hotel_pol-NEG_tokenise, 105	怎么 挂上去 的 ？ 从来 没有 遇到 这么	差	的 4 星 酒店 。 强烈 不 推荐 ！ ！ ！ 太老
HUM_cat-hotel_pol-NEG_tokenise, 106	有 味道 空调 也 有 味道 总之 就是	差	热水 不够 热 ， 让 工作人员 来看 ， 就 告诉 我水 就
HUM_cat-hotel_pol-NEG_tokenise, 111	酒店业 十分 发达 的 城市 ， 酒店 服务	差	， 入住 登记 时 强调 要 安静 的 房间 ， 结果 还是
HUM_cat-hotel_pol-NEG_tokenise, 113	居然 过来 问 我 ， 态度 语气 非常	差	问 你 是 谁 ？ 我 说 我 是 他 女朋友 他
HUM_cat-hotel_pol-NEG_tokenise, 117	。 服务员 服务 也 一般 ， 隔音 比较	差	。 晚上 的 骚扰电话 ， 唉 ， 不提 了 个人感觉 ： 1
HUM_cat-hotel_pol-NEG_tokenise, 118	， 不提 了 个人感觉 ： 1 、 条件	差	， 房间 小 。 2 、 服务 不 到位 。 钥匙 老是
HUM_cat-hotel_pol-NEG_tokenise, 120	呵呵 ， 现在 好像 改了 。 性价比 太	差	， 哪里 是 三星 的 标准 啊 实在 是 对不起 这个 价格
HUM_cat-hotel_pol-NEG_tokenise, 124	心跳 ！ ！ ！ 房间 隔音 效果 非常	差	， 飞机 起飞 的 声音 巨响 ， 床头柜 落 满灰尘 。 地毯
HUM_cat-hotel_pol-NEG_tokenise, 132	了 ， 遗憾 ！ 前台 接待 态度 非常	差	！ 说 粗口 ！ 建议 有 其它 选择 就 不要 选择 这里
HUM_cat-hotel_pol-NEG_tokenise, 135	不想 提了 ！ 强烈建议 不要 入住 ！ 相当	差	， 真不知道 该 酒店 是 怎么 升 上 五星 的 。 升星
HUM_cat-hotel_pol-NEG_tokenise, 135	之后 价格 还长 了 ， 服务 却 越来越	差	。 建议 国家旅游局 对 其 重新 评估 ， 否则 就是 拿 了
HUM_cat-hotel_pol-NEG_tokenise, 140	， 就 觉得 邯郸 大酒店 应该 也 不会	差	到哪去 ， 一进 大厅 就 感觉 有种 陈旧 的 感觉 ， 一个
HUM_cat-hotel_pol-NEG_tokenise, 140	还是 要 单面 点 清楚 地 ， 发现	差	的 也 太 离谱 了 ， 询问 后 又 退 给 我
HUM_cat-hotel_pol-NEG_tokenise, 141	， 再 不住 这个 酒店 ， 服务 非常	差	， 4 星级 酒店 没有 门童 开门 ， 接 行李 。 只有
HUM_cat-hotel_pol-NEG_tokenise, 146	生活 多年 ， 从来 没有 碰到 服务 这么	差	的 ， 国人 的 服务 然道 就 这样 ？ 感觉 自己 作为
HUM_cat-hotel_pol-NEG_tokenise, 152	。 房间 清洁 倘可 接受 。 空调 比较	差	房间 温度 高 。 电视 频度 选择 比较 少 。 性价比 还
HUM_cat-hotel_pol-NEG_tokenise, 153	很 是 一般 ， 可以 说 是 有点	差	， 就 10 几年 的 老 装修 。 还是 住潭江 半岛 酒店
HUM_cat-hotel_pol-NEG_tokenise, 155	设施 老化 ， 淋浴 水龙头 漏水 。 隔音	差	， 飞机 声音 响 不停 。 酒店设施 非常 陈旧 ， 而且 接送
HUM_cat-hotel_pol-NEG_tokenise, 170	希望 大家 都 谨慎 一点 吧 。 服务	差	， 怎么 会 有 一间 酒店 没 热水 呢? 我 之前
HUM_cat-hotel_pol-NEG_tokenise, 172	， 最后 我们 决定 更换 。 环境 太	差	, 非常 后悔, 再 不会 去 住 房间 有 味道 。
HUM_cat-hotel_pol-NEG_tokenise, 181	， 房间 小 。 设施 要 比 以前	差	了 ， 要 改进 。 希望 有 进步 。 时常 客人 来
HUM_cat-hotel_pol-NEG_tokenise, 183	, 不象 4 星, 房间 隔音 太	差	, 隔壁 打 了 一晚 麻将, 太吵 了 硬件 差 ：
HUM_cat-hotel_pol-NEG_tokenise, 184	打 了 一晚 麻将, 太吵 了 硬件	差	： 房间 设施 简单 、 陈旧 ， 房内 有 较 重 的
HUM_cat-hotel_pol-NEG_tokenise, 184	半夜 后 中央空调 “ 罢工 ” 。 服务	差	： 进房 发现 ， 床单 和 被褥 就 简单 地铺 在 床上
HUM_cat-hotel_pol-NEG_tokenise, 184	、 服务 的 基本 水准 ） 。 餐饮	差	： 办理 入住 手续 时 ， 总台 推荐 在 酒店 用餐 （
HUM_cat-hotel_pol-NEG_tokenise, 184	“ 小害 ” 了 一次 ！ ） 卫生	差	： 这 是 最 要命 的 一点 ， 在 离开 酒店 后
HUM_cat-hotel_pol-NEG_tokenise, 189	能 听得见 唱歌 声 ； 3. 厕所	差	， 第一个 房间 因为 厕所 堵住 换 另 一个 房间 ， 结果
HUM_cat-hotel_pol-NEG_tokenise, 189	酒店 会出 这种 事情 ； 4. 服务态度	差	， 给 人 一种 冰冷 的 感觉 。 总之 ， 这 是
HUM_cat-hotel_pol-NEG_tokenise, 203	的 ， 一般般 吧 房间 隔音 效果 超级	差	， 晚上 竟然 能 听到 外面 在 搓麻 将 和 讲话声 ！
HUM_cat-hotel_pol-NEG_tokenise, 207	酒店 不 值得 推荐 。 很差 ， 非常	差	。 特别 是 服务员 的 态度 。 注意 请 不要 住 1
HUM_cat-hotel_pol-NEG_tokenise, 208	， 我 想 退 了 。 前台 服务态度	差	看着 地理位置 合适 才 选 的 这家 酒店 ， 酒店 没有 明显
HUM_cat-hotel_pol-NEG_tokenise, 217	住 的 外国人 比较 多 ， 服务态度 就	差	了 一点 ， 素质 比较 低 ， 对于 签名 还要 问 你
HUM_cat-hotel_pol-NEG_tokenise, 229	的 贵 ！ ！ ！ ！ ！ ！	差	了 俩 块钱 没 早饭 ！ ！ ！ 酒店 离 机场 很
HUM_cat-hotel_pol-NEG_tokenise, 238	去 哪儿 网上 定房 前台 妹子 服务质量 超级	差	我 去 的 时候 还 在 跟 航空公司 的 空乘 人员 吵架
HUM_cat-hotel_pol-NEG_tokenise, 241	环境 一般 ， 设施 不好 ， 服务 又	差	， 就是 为了 离 机场 近才 选择 了 这家 酒店 ， 以后
HUM_cat-hotel_pol-NEG_tokenise, 243	硬件 设施 太 一般 ， 服务 水准 太	差	， 除了 地理位置 还算 好 ， 这家 酒店 乏善可陈 一般 ， 没有
HUM_cat-hotel_pol-NEG_tokenise, 246	钱 。 对 庐山 宾馆 的 印象 差差	差	。 建议 大家 还是 选择 其他 宾馆 。 反正 上面 有 很多
HUM_cat-hotel_pol-NEG_tokenise, 247	被 咬 了 满脸 包 ， 体验 非常	差	离 机场 10 分钟 车程 ， 酒店设施 老久 ， 网速 非常 慢
HUM_cat-hotel_pol-NEG_tokenise, 249	月 18 号 的 大巴 司机 服务 太	差	， 没有 报 清楚 T1 还是 T2 ， 很多 旅客 都 专门
HUM_cat-hotel_pol-NEG_tokenise, 251	！ 交通 太 不 方便 了 。 卫生	差	， 有 小 动物 出没 。 早上 第一 班车 退房 人多 ，
HUM_cat-hotel_pol-NEG_tokenise, 268	空调 机房 嘈音 整个 晚上 ， 隔音 也	差	！ 早餐 自己 买单 39 元 一位 ， 因为 没睡 好 ，
HUM_cat-hotel_pol-NEG_tokenise, 278	朋友 订 的 ， 听 反馈 ， 真心	差	， 可惜 当时 有 展会 ， 到处 订 不到 酒店 。 酒店设施
HUM_cat-hotel_pol-NEG_tokenise, 279	订 不到 酒店 。 酒店设施 很差 ， 早饭	差	， 要命 的 服务员 态度 很差 ！ 下次 绝对 不住 ！ 设施
HUM_cat-hotel_pol-NEG_tokenise, 300	慢 。 这个 酒店 的 房间 也 很	差	。 酒店 的 怪味 根本 无法忍受 ， 设施 也 不 方便 ，
HUM_cat-hotel_pol-NEG_tokenise, 306	五星 标准 。 房间 那 是 相当 的	差	， 不过 也 是 挺 便宜 的 。 交通 不太 方便 。
HUM_cat-hotel_pol-NEG_tokenise, 320	没有, 酒店 装修 老旧 ， 前台 服务	差	， 不 推荐 入住 。 酒店 房间 设施 陈旧 ， 尤其 卫生间
HUM_cat-hotel_pol-NEG_tokenise, 325	蟑螂 他 挨 停车场 很近 但是 酒店 隔音	差	床硬 各种 脏脏 的 唉 … 房间 真差 啊 ， 我 住
HUM_cat-hotel_pol-NEG_tokenise, 333	不信 的 去 了 就 知道 什么 是	差	了 ！ ！ 什么 是 后悔 了 ！ ！ 服务 人员素质 不高
HUM_cat-hotel_pol-NEG_tokenise, 339	早餐 也 一般 。 前台 接待 服务 非常	差	， 好像 客人 欠 她 钱 似的 ， 建议 大家 不要 定
HUM_cat-hotel_pol-NEG_tokenise, 342	其他 桔子 酒店 比 起来 ， 前台 态度	差	很多 。 环境 离 机场 还算近 ， 只是 酒店设施 比较 陈旧 。
HUM_cat-hotel_pol-NEG_tokenise, 344	没有 四星级, 而且 房间 的 隔音 太	差	, 马路上 的 车声 \ 楼上 的 乱七八糟 的 声音, 硬是
HUM_cat-hotel_pol-NEG_tokenise, 345	真是 素质 与 服务 都 不是 一般 的	差	! 幸好 另外 找 了 信用卡 银行 在 跟进 了, 真
HUM_cat-hotel_pol-NEG_tokenise, 346	过去 了 。 2 种 房间 的 价格	差	了 ￥ 150 ， 贵 的 房间 除了 面积 小 了 许多
HUM_cat-hotel_pol-NEG_tokenise, 349	的 风险 举动 ！ 房间 太小 ， 服务态度	差	， 行李 没 人 帮忙 拿 ， 服务 太 差 ， 酒店
HUM_cat-hotel_pol-NEG_tokenise, 350	行李 没 人 帮忙 拿 ， 服务 太	差	， 酒店 预订 部 居然 挂 我 电话 设施 陈旧 ， 价格
HUM_cat-hotel_pol-NEG_tokenise, 352	陈旧 ， 价格 较贵 。 酒店 服务 非常	差	。 早起 出门时 希望 保安 给 我 叫 出租车 。 保安 用
HUM_cat-hotel_pol-NEG_tokenise, 354	打仗 都 不 知道 ！ 2 ， 网络	差	， wifi 弱 ！ 3 ， 附近 交通 非常 不 方便 情侣
HUM_cat-hotel_pol-NEG_tokenise, 358	感觉 像 有鬼 一样, 服务 也 很	差	, 水要 自己 要 才 给, 总之 这个 酒店 绝对 不
HUM_cat-hotel_pol-NEG_tokenise, 361	你 的 用 一个 子 评价 就是 "	差	", 两个 字 就是 " 差差 ", 用 三个 字
HUM_cat-hotel_pol-NEG_tokenise, 361	, 用 三个 字 评价 就是 " 差差	差	", 除了 地点 好, 其它 的, 房间 老旧 也
HUM_cat-hotel_pol-NEG_tokenise, 368	亮点. 用餐 非常 不好, 早餐 非常	差	, 没有 什么 东西 吃, 都 是 菜饭 什么 的,
HUM_cat-hotel_pol-NEG_tokenise, 379	住 的 所有 酒店 没有 比 它 还	差	的 酒店 环境 差 位置 太偏 服务态度 急其 恶毒 不会 入住 第二次
HUM_cat-hotel_pol-NEG_tokenise, 379	没有 比 它 还 差 的 酒店 环境	差	位置 太偏 服务态度 急其 恶毒 不会 入住 第二次 酒店 位置 超好 ，
HUM_cat-hotel_pol-NEG_tokenise, 382	酒店 。 宾馆 在 小巷 里, 周围环境	差	, 室内 施舍 一般, 218 元 一定 要求 住 4 楼
HUM_cat-hotel_pol-NEG_tokenise, 390	太 糟糕 了 。 ＊ 服务 人员 态度	差	， 效率 底 ； ＊ 房间 小 ， 床 不 舒服 ，
HUM_cat-hotel_pol-NEG_tokenise, 417	另外 ， 酒店 总台 接机 的 态度 超级	差	， 一次 不好 的 入住 印象 ， 从没 遇 过 这么 差
HUM_cat-hotel_pol-NEG_tokenise, 417	的 入住 印象 ， 从没 遇 过 这么	差	的 酒店 服务 了 。 其实 ， 硬件 还是 不错 的 很
HUM_cat-hotel_pol-NEG_tokenise, 422	这里, 只会 比 你 想象 的 更	差	， 不会 比 你 想象 的 好 ！ 对于 携程 的 推荐
HUM_cat-hotel_pol-NEG_tokenise, 425	星级 酒店 相差 甚远. 奇怪的是, 这样	差	的 酒店 居然 好评 如潮??? 请 大家 擦亮 双眼
HUM_cat-hotel_pol-NEG_tokenise, 426	早餐 上 的 咖啡 比 速溶 咖啡 都	差	, 牛奶 是 掺水 的. 4, 房价 是 780 元
HUM_cat-hotel_pol-NEG_tokenise, 426	这种 地方. 我 从来 没住 过 这么	差	的 宾馆. 房间 设备 太 差, 连 空调 都 没
HUM_cat-hotel_pol-NEG_tokenise, 427	这么 差 的 宾馆. 房间 设备 太	差	, 连 空调 都 没 安装, 下次 如 有 机会 再
HUM_cat-hotel_pol-NEG_tokenise, 430	在 浦东 机场 附近 一般 ， 早餐 太	差	地段 还 不错 ， 但 作为 一家 4 星级宾馆 ， 设施 方面
HUM_cat-hotel_pol-NEG_tokenise, 442	） ， 设备 比较 旧 ， 早餐 太	差	， 还有 就是 在 洗澡时 洗 一半 竟然 没 冷水 ， 差点
HUM_cat-hotel_pol-NEG_tokenise, 442	没 冷水 ， 差点 烫伤 ， 总的来说 比较	差	， 以后 不会 再 选择 入住 该家 酒店 这 酒店 的 服务
HUM_cat-hotel_pol-NEG_tokenise, 444	。 这次 入住 和 上次 相比, 感觉	差	很多 啊... 卫生间 马桶 一直 漏水, 早上 打扫 房间 服务员
HUM_cat-hotel_pol-NEG_tokenise, 447	什么 尴尬 的 事情 晕倒 这家 酒店 非常	差	, 大家 不要 给 它 的 外表 所 欺骗, 房间 非常
HUM_cat-hotel_pol-NEG_tokenise, 448	要 比 它 好 橘子 比起 以前 来说	差	了 很多 ， 不 知道 是不是 安排 的 房间 的 问题 。
HUM_cat-hotel_pol-NEG_tokenise, 448	的 房间 的 问题 。 感觉 比 以前	差	了 好多 ， 服务 也 不怎么样 。 以后 可能 不会 再选 。
HUM_cat-hotel_pol-NEG_tokenise, 452	陈旧 。 卫生 很差 设施 陈旧, 卫生	差	. 感觉: 四星 的 大门, 二星 的 客房, 没有
HUM_cat-hotel_pol-NEG_tokenise, 457	早餐 的 种类 跟 口味 也 是 很	差	， 根本 不值 450 一晚 ！ 唯一 的 好处 就是 离 机场
HUM_cat-hotel_pol-NEG_tokenise, 459	酒店 外观 比较 旧 ， 店内 装修 比较	差	。 太差 了 ！ 完全 不值 ！ 请 各位 注意 酒店 提供
