Reference	LeftContext	Pivot	RightContext
GPT_NEG_tokenise, 1331	没 精神 。 原本 以为 是 家 连锁	酒店	， 再 差 也 不会 差到 哪里 去 ， 结果 这次 真的
GPT_NEG_tokenise, 1331	， 结果 这次 真的 刷新 了 我 对	酒店	服务 的 认知 。 入住 当天 到 得 比较 晚 ， 大概
GPT_NEG_tokenise, 1332	本来 想着 好不容易 休个 假 ， 订个 海边	酒店	好好 放松 一下 ， 结果 没想到 整个 行程 最 糟心 的 就是
GPT_NEG_tokenise, 1332	没想到 整个 行程 最 糟心 的 就是 这家	酒店	。 入住 的 时候 大厅 看着 还 挺 气派 ， 结果 一进
GPT_NEG_tokenise, 1333	想着 反正 白天 都 在 外面 逛 ，	酒店	差不多 就行 ， 所以 订 了 这家 价格 不算 太贵 的 酒店
GPT_NEG_tokenise, 1333	所以 订 了 这家 价格 不算 太贵 的	酒店	。 结果 真正 住 进去 以后 发现 ， 便宜 确实 是 有
GPT_NEG_tokenise, 1333	便宜 确实 是 有 原因 的 。 首先	酒店	走廊 特别 暗 ， 灯光 昏昏 黄黄的 ， 看着 就 不 舒服
GPT_NEG_tokenise, 1334	。 之前 看 网上 很多 人 推荐 这家	酒店	， 说 位置 方便 、 服务 不错 ， 所以 这次 带 爸妈
GPT_NEG_tokenise, 1335	管理水平 是 怎么 经营 下去 的 。 这家	酒店	最大 的 特点 就是 照片 拍 得 特别 好 ， 实际 情况
GPT_NEG_tokenise, 1336	服务态度 真的 太差 了 。 当天 中午 到	酒店	的 时候 ， 因为 航班 提前 ， 所以 想 问 一下 能
GPT_NEG_tokenise, 1338	出差 本来 时间 就 紧 ， 结果 一进	酒店	就 开始 各种 不顺 ， 先是 前台 排队 排 了 很 久
GPT_NEG_tokenise, 1339	完全 不是 那么回事 ， 一 开始 还 觉得	酒店	外观 看着 挺 正常 的 ， 进来 之后 才 发现 细节 特别
GPT_NEG_tokenise, 1345	， 但 放在 一起 就 会 觉得 整个	酒店	的 维护 状态 比较 一般 退房 的 时候 也 没有 太 多
GPT_NEG_tokenise, 1373	听 越 不对劲 ， 打电话 问才 说 就是	酒店	固定设备 运行 声音 ， 让 我 “ 适应 一下 ” ， 这种
GPT_NEG_tokenise, 1374	的 本来 想着 图个 省心 选 了 连锁	酒店	， 结果 一 进门 就 发现 卫生间 地面 是 湿 的 ，
GPT_NEG_tokenise, 1393	会 让 人 觉得 体验 有点累 入住 这家	酒店	本来 是 看 位置 方便 才 临时 订 的 ， 结果 一
GPT_NEG_tokenise, 1766	住 得 真 不值 真的 服 了 这	酒店	！ ！ ！ 一 进门 就 一股 怪味 冲 出来 ， 窗户
GPT_NEG_tokenise, 1895	到 外面 地面 ， 越洗 越乱 入住 这家	酒店	本来 想着 位置 方便 就 忍 一忍 ， 结果 从 进门 开始
GPT_NEG_tokenise, 1963	拖拉机 一样 响 ！ 一夜 没睡 ！ sb	酒店	能 不能 修 一下 啊 ！ 进门 一股 怪味 … 说不上来 但
GPT_NEG_tokenise, 2079	负分 ！ ！ ！ 住 过 不少 同价位	酒店	， 这 一家 真的 是 体验 最差 之一 ， 房间 说不上 脏
GPT_NEG_tokenise, 2112	来 第二次 sb 真的 无 语 ， 这	酒店	一 进门 就 感觉 不对劲 ， 地板 黏脚 一样 ， 拖鞋 都
GPT_NEG_tokenise, 2152	断联 sb 真的 服 了 ， 这 什么	酒店	， 进 房间 第一 感觉 就是 旧得 离谱 房卡 刷 半天 没
GPT_NEG_tokenise, 2229	挺 影响 心情 真的 服 了 ， 这	酒店	一 进来 就 有点 崩溃 ， 走廊 味道 就 不 太 对劲
GPT_NEG_tokenise, 2271	很差 。 第一次 来 这座 城市 ， 结果	酒店	位置 很 偏 ， 晚上 出门 连 吃饭 都 不 方便 。
GPT_NEG_tokenise, 2387	等待时间 较长 ， 效率 不高 。 凌晨 抵达	酒店	后 发现 大堂 居然 没有 人 值守 ， 只能 在 前台 等
GPT_NEG_tokenise, 2440	。 凌晨 走廊 有人 大声 交谈 ， 但	酒店	没有 任何 制止 措施 。 入住 时 等待 电梯 时间 过长 ，
GPT_NEG_tokenise, 2444	问题 ， 夜里 一直 传来 水流 撞击声 。	酒店	指示牌 不 清晰 ， 第一次 来 的 人 很 容易 迷路 。
GPT_NEG_tokenise, 2452	车 经过 走廊 ， 轮子 噪音 非常明显 。	酒店	提供 的 拖车 行李 服务 很 慢 ， 需要 等待 很 久
GPT_NEG_tokenise, 2460	不合理 ， 正对 书桌 导致 很 冷 。	酒店	整体 网络 在 公共 区域 也 不 稳定 ， 经常 断线 。
GPT_NEG_tokenise, 2463	夜间 火警 误报 持续 很 久 ， 但	酒店	处理速度 很 慢 。 入住 期间 发现 洗衣 服务 延误 严重 ，
GPT_NEG_tokenise, 2477	密封条 老化 ， 外面 风声 直接 灌进来 。	酒店	走廊 地毯 有 明显 破损 和 卷边 ， 拖 行李 很 容易
GPT_NEG_tokenise, 2483	传来 明显 拖动 家具 的 声音 ， 但	酒店	没有 任何 处理 。 房间 提供 的 免费 瓶装水 数量 不足 ，
GPT_NEG_tokenise, 2486	， 感觉 像是 被 随意 处理 过 。	酒店	大厅 空调 温度 过低 ， 等 办理手续 时 非常 冷 。 房间内
GPT_NEG_tokenise, 2496	总控 开关 ， 关灯 需要 逐个 操作 。	酒店	提供 的 行李车 数量 不足 ， 经常 需要 等待 别人 使用 完
GPT_NEG_tokenise, 2506	， 走廊 光线 直接 照进 房 内 。	酒店	公共 区域 座椅 数量 不足 ， 等待 时 没有 地方 坐 。
GPT_NEG_tokenise, 2517	仍 频繁 开关门 ， 噪音 很 明显 。	酒店	WiFi 需要 频繁 重新 登录 ， 使用 过程 中 非常 不 稳定
GPT_NEG_tokenise, 2537	水渍 残留 ， 看起来 没有 认真 擦拭 。	酒店	走廊 指示灯 有 部分 损坏 ， 晚上 方向 不太好 辨认 。 房间内
GPT_NEG_tokenise, 2545	空间设计 不合理 ， 行李 很难 完全 打开 。	酒店	公共 区域 香味 扩散 不均 ， 有些 地方 过 浓 有些 地方
GPT_NEG_tokenise, 2552	， 前台 人手 明显 不足 。 商务人士 用	酒店	网络 开会 时 频繁 卡顿 ， 导致 会议 中断 好 几次 。
GPT_NEG_tokenise, 2554	客人 觉得 停车 指引 不 清晰 ， 在	酒店	附近 绕 了 很 久 才 找到 入口 。 学生 旅客 认为
GPT_NEG_tokenise, 2609	效果 一般 ， 早上 光线 很 刺眼 。	酒店	公共 区域 座椅 不足 ， 等 人时 没有 地方 休息 。 房间内
GPT_NEG_tokenise, 2673	被 强光 直接 照醒 。 自驾 游客 反馈	酒店	周边 施工 复杂 ， 导航 到 入口 非常 混乱 。 学生 党
GPT_NEG_tokenise, 2687	心理 上 不够 安心 。 旅游 博主 觉得	酒店	整体 设计 缺乏 特色 ， 没有 亮点 可 拍 。 亲子 家庭
GPT_NEG_tokenise, 2712	， 差点 直接 误机 。 自驾 游客 觉得	酒店	入口 标识 不 清楚 ， 夜里 绕 了 很 久 才 找到
GPT_NEG_tokenise, 2745	不够 到位 。 凌晨 拖 着 行李 到	酒店	， 结果 大堂 冷冷清清 ， 站 了 好 一会儿 才 有人 慢慢
GPT_NEG_tokenise, 2784	没 处理 好 的 地方 。 夜里 到	酒店	时 前台 像 空 了 一样 ， 站 在 那里 有点像 被
GPT_NEG_tokenise, 2833	不合理 。 作为 摄影 爱好者 本来 想 拍点	酒店	环境 ， 结果 整体 破旧 感太强 ， 完全 不 符合 宣传 图
GPT_NEG_tokenise, 2863	， 这次 入住 很 不 满意 。 刚到	酒店	就 发现 大堂 空调 几乎 没有 效果 ， 站 着 办理 入住
GPT_NEG_tokenise, 2874	洗个 脸水 都积 在 那里 不 往下走 。	酒店	整体 指引 标识 很 乱 ， 第一次 来 的 人 很 容易
GPT_NEG_tokenise, 2880	异味 ， 像 很久没 清洗 过 一样 。	酒店	WiFi 需要 频繁 重新 登录 ， 非常 麻烦 且 不 稳定 。
GPT_NEG_tokenise, 2887	， 经常 找 不到 干净 盘子 使用 。	酒店	外卖 送 上楼 流程 混乱 ， 经常 送错 房间 或者 延迟 很
GPT_NEG_tokenise, 2893	和 热水 使用 方式 很难 弄 明白 。	酒店	周边环境 比较 吵 ， 晚上 还有 车辆 鸣笛 声 持续 不断 。
GPT_NEG_tokenise, 2901	， 即使 标注 禁烟 也 没有 改善 。	酒店	整体 维护 很 不 到位 ， 很多 细节 都 显得 缺乏 管理
GPT_NEG_tokenise, 2907	带 着 很重 行李 的 旅客 表示 ，	酒店	没有 行李 推车 或者 明显 指引 ， 上楼 过程 非常 吃力 。
GPT_NEG_tokenise, 2917	， 体验 大打折扣 。 早 班机 旅客 反馈	酒店	没有 提供 稳定 的 叫 早 服务 ， 完全 依赖 自己 闹钟
GPT_NEG_tokenise, 2925	过程 比较 混乱 。 健身 习惯 者 表示	酒店	没有 明确 说明 健身 设施 开放 时间 ， 实际 使用 时才 发现
GPT_NEG_tokenise, 2927	清理 干净 。 行程 紧张 的 旅客 发现	酒店	电梯 响应速度 慢 ， 赶时间 时 特别 焦虑 。 情侣 入住 发现
GPT_NEG_tokenise, 2931	不够 好 。 作为 第一次 使用 该 品牌	酒店	的 人 ， 整体 感觉 流程 混乱 ， 没有 统一标准 。 长途飞行
GPT_NEG_tokenise, 2939	作为 习惯 安静 环境 的 人 ， 发现	酒店	公共 区域 音乐 音量 偏 大 ， 有点 干扰 。 带 行李
GPT_NEG_tokenise, 2947	无法 对准 合适 构图 。 夜跑 爱好者 发现	酒店	没有 清晰 的 周边 跑步 路线 指引 ， 出门 锻炼 体验 很差
GPT_NEG_tokenise, 2976	没有 舒适感 。 出差 频繁 的 客人 觉得	酒店	信息系统 更新 慢 ， 很多 说明 不够 清楚 。 清晨 赶 行程
GPT_NEG_tokenise, 2984	也 没人 解释 原因 。 我 半夜 到	酒店	， 本来 很累 ， 结果 找 房间 还 绕 了 好几圈 。
GPT_NEG_tokenise, 3023	图片 差距 挺大 的 。 我 凌晨 到	酒店	的 时候 前台 没 人 接待 ， 等 了 很 久 才
GPT_NEG_tokenise, 3026	我 晚上 睡觉 特别 浅 ， 但 这家	酒店	走廊 脚步声 一直 不断 ， 几乎 整晚 没 休息 好 。 我
GPT_NEG_tokenise, 3032	我 作为 摄影 爱好者 ， 本来 想 拍	酒店	环境 ， 但 整体 灯光 和 装修 都 很 一般 。 我晚
GPT_NEG_tokenise, 3043	干净 。 我 作为 健身 习惯 者 ，	酒店	健身房 设备 太 少 ， 而且 维护 也 一般 。 我 觉得
GPT_NEG_tokenise, 3052	走廊 一直 有人 来回 走动 。 我 感觉	酒店	整体 管理 有点 混乱 ， 很多 事情 需要 反复 确认 。 我
GPT_NEG_tokenise, 3063	评价 差距 有点 大 。 我 凌晨 到	酒店	时 发现 没有 人 主动 指引 办理 流程 ， 整个 前台 显得
GPT_NEG_tokenise, 3074	行李 上去 ， 非常 吃力 。 我 在	酒店	里 很 容易 迷路 ， 楼层 指示 不 清晰 ， 绕 了
GPT_NEG_tokenise, 3092	报错 ， 最后 还是 人工 处理 。 我用	酒店	App 想 办理 入住 但 一直 登录 失败 ， 体验 不 顺畅
GPT_NEG_tokenise, 3113	我 作为 商务 客人 需要 打印文件 ， 但	酒店	打印服务 当天 无法 使用 。 我 叫 的 出租车 没有 按时 到达
GPT_NEG_tokenise, 3154	， 没有 及时 补充 。 我点 外卖 让	酒店	代收 ， 结果 被 放在 前台 没 人 通知 我 。 我
GPT_NEG_tokenise, 3168	发现 窗外 有 持续 施工 噪音 ， 但	酒店	没有 提前 告知 。 我 使用 浴室 时 发现 水龙头 水流 很
GPT_NEG_tokenise, 3194	。 我 需要 打印 紧急 文件 ， 但	酒店	打印 设备 当天 无法 使用 ， 没有 任何 替代 方案 。 我
GPT_NEG_tokenise, 3224	作为 一名 凌晨 到达 的 旅客 ， 发现	酒店	大堂 灯光 很 暗 ， 办理手续 时 有种 被忽视 的 感觉 。
GPT_NEG_tokenise, 3234	。 我 是 一名 健身 爱好者 ， 但	酒店	健身房 器械 老旧 且 有 明显 异响 。 我 作为 商务 顾问
GPT_NEG_tokenise, 3248	。 我 是 一名 出差 财务人员 ， 发现	酒店	网络 限制 导致 无法访问 公司 系统 。 我 作为 亲子 家庭成员 ，
GPT_NEG_tokenise, 3253	安全 。 我 作为 健身 教练 ， 发现	酒店	没有 提供 基础 拉伸 区域 ， 非常 不 便利 。 我 是
GPT_NEG_tokenise, 3262	。 我 是 一名 会议 参与者 ， 发现	酒店	公共 区域 WiFi 与 房间 不 一致 频繁 掉线 。 我 作为
GPT_NEG_tokenise, 3271	安全感 。 我 作为 一名 程序员 ， 发现	酒店	网络 在 晚上 高峰期 几乎 无法 使用 。 我 是 一名 早班
GPT_NEG_tokenise, 3281	。 我 作为 一名 健身 教练 ， 发现	酒店	健身房 设备 数量 不足 且 维护 不 及时 。 我 是 一名
GPT_NEG_tokenise, 3288	。 我 是 一名 夜间 工作者 ， 发现	酒店	公共 区域 噪音 持续 到 很 晚 。 我 作为 一名 出差
GPT_NEG_tokenise, 3330	打球 的 朋友 吃 完 烧烤 才 回	酒店	， 一进 房间 先找 插座 ， 结果 床头 只有 一边 能 充电
GPT_NEG_tokenise, 3349	来 拍 商业 宣传片 的 ， 凌晨 到	酒店	只想 快速 休息 结果 一直 在 大厅 站 着 等 房间 空间
GPT_NEG_tokenise, 3359	吓 得 我 扶 着 墙 走 到	酒店	已经 很 晚 ， 电梯 还 在 维修 一层 停 一会儿 ，
GPT_NEG_tokenise, 3437	了 ， 算了 懒得 说 临时 选 的	酒店	， 结果 电梯 慢得 要命 ， 还 经常 满员 。 房间 进去
GPT_NEG_tokenise, 3450	了 ， 不如 住 别的 临时 订 的	酒店	， 进门 感觉 就 不 太 对 ， 房间 有点 潮气 。
GPT_NEG_tokenise, 3693	桌上 忘 拿 了 。 公司 安排 附近	酒店	， 我 自己 没太 挑 。 结果 房间 进去 后 灯光 很
GPT_NEG_tokenise, 3696	早餐 ， 起晚 了 。 临时 订 的	酒店	， 图离 地铁 近 。 进 房间 后 发现 窗户 对 着
GPT_NEG_tokenise, 3701	WiFi 能用 但 慢 。 临时 订 的	酒店	， 说 是 位置 好 。 确实 位置 还 行 ， 但
GPT_NEG_tokenise, 3720	说 一句 ， 楼下 早餐 摊 反而 比	酒店	靠 谱 。 入住 过程 就 挺 折腾 的 ， 等 房
GPT_POS_tokenise, 1		酒店	位置 特别 方便 ， 离 地铁站 很近 ， 前台 服务态度 也 很
GPT_POS_tokenise, 5	还 主动 帮 我们 升级 了 房型 。	酒店	环境 比 想象 中好 ， 整体 住 得 很 满意 。 房间
GPT_POS_tokenise, 9	入住 速度 很快 ， 没有 等 太久 。	酒店	离 景点 很近 ， 步行 就 能 到 ， 非常 方便 。
GPT_POS_tokenise, 12	预期 大 ， 住 起来 很 舒适 。	酒店	装修 风格 很 温馨 ， 让 人 感觉 放松 。 服务 人员
GPT_POS_tokenise, 17	晚上 在 房间 里 感觉 特别 舒服 。	酒店	周边 吃饭 很 方便 ， 选择 很多 。 入住 过程 很 顺利
GPT_POS_tokenise, 23	都 很 好 用 。 这次 旅行 因为	酒店	体验 加 分 不少 。 空调 效果 很 好 ， 房间 温度
GPT_POS_tokenise, 28	， 整体 体验 一直 都 很 稳定 。	酒店	大堂 很漂亮 ， 第一印象 很 好 。 晚上 睡觉 很 安静 ，
GPT_POS_tokenise, 31	浴室 水压 很足 ， 洗澡 特别 舒服 。	酒店	交通 便利 ， 打车 和 坐 公交 都 方便 。 入住 时
GPT_POS_tokenise, 35	态度 很 好 ， 说话 很 温柔 。	酒店	整体 氛围 不错 ， 让 人 感觉 很 放松 。 周边环境 安全
GPT_POS_tokenise, 40	价格合理 ， 整体 服务 超过 预期 。 这家	酒店	细节 做 得 很 好 ， 住 起来 很 省心 。 第一次
GPT_POS_tokenise, 41	住 起来 很 省心 。 第一次 入住 这家	酒店	， 整体 感觉 非常 不错 。 前台 接待 很 专业 ， 还
GPT_POS_tokenise, 44	那么 小 ， 两个 人住 完全 够用 。	酒店	卫生 保持 得 很 好 ， 住 着 比较 放心 。 入住
GPT_POS_tokenise, 48	几晚 ， 服务质量 一直 都 很 稳定 。	酒店	附近 交通 发达 ， 出行 节省 了 很多 时间 。 房间 里
GPT_POS_tokenise, 51	超出 预期 ， 体验 感 很 好 。	酒店	位置 很 好找 ， 导航 直接 就 能 到 。 工作人员 办事效率
GPT_POS_tokenise, 57	， 行李 多 也 不会 觉得 拥挤 。	酒店	整体 很 有 品质 感 ， 看起来 比较 新 。 入住 期间
GPT_POS_tokenise, 62	的 ， 实际 体验 确实 很 好 。	酒店	员工 态度 友善 ， 让 人 感觉 很 亲切 。 入住 手续
GPT_POS_tokenise, 65	很 好 ， 晚上 睡觉 很 舒服 。	酒店	附近 便利店 很多 ， 买 东西 特别 方便 。 这次 出行 住
GPT_POS_tokenise, 69	空间 很多 ， 整理 东西 很 方便 。	酒店	整体 安静 整洁 ， 很 适合 休息 。 服务 响应速度 快 ，
GPT_POS_tokenise, 72	很 好 ， 房间 感觉 很 温馨 。	酒店	细节 做 得 不错 ， 入住 体验 比较 轻松 。 卫生 情况
GPT_POS_tokenise, 76	空气流通 不错 ， 没有 闷闷 的 感觉 。	酒店	的 隔音 比 很多 同价位 酒店 都 要 好 。 入住 体验
GPT_POS_tokenise, 76	感觉 。 酒店 的 隔音 比 很多 同价位	酒店	都 要 好 。 入住 体验 很 顺心 ， 没有 遇到 什么
GPT_POS_tokenise, 80	整体 来说 是 一家 值得 再次 入住 的	酒店	。 房间 非常 干净 整洁 ， 入住 体验 很 好 ， 前台
GPT_POS_tokenise, 82	好 ， 前台 服务 也 很 热情 。	酒店	位置 很 方便 ， 出行 和 吃饭 都 很 顺利 ， 整体
GPT_POS_tokenise, 90	， 住 起来 一点 也 不 压抑 。	酒店	装修 风格 简洁 现代 ， 看着 很 舒服 。 洗浴 用品 质量
GPT_POS_tokenise, 96	不错 ， 这个 价格 能住 到 这样 的	酒店	很 满意 。 空调 运行 稳定 ， 温度 调节 很 舒适 。
GPT_POS_tokenise, 98	运行 稳定 ， 温度 调节 很 舒适 。	酒店	整体 氛围 很 好 ， 让 人 感觉 放松 。 床品 柔软
GPT_POS_tokenise, 110	房间 布置 温馨 ， 有家 的 感觉 。	酒店	整体 管理 规范 ， 看得出 很 用心 。 工作人员 很 友善 ，
GPT_POS_tokenise, 118	流程 也 很快 ， 不 耽误 行程 。	酒店	细节 做 得 不错 ， 比如 灯光 和 布局 都 很 合理
GPT_POS_tokenise, 123	入住 和 退房 都 非常 高效 顺畅 。	酒店	地理位置 优越 ， 周边 交通 便利 ， 出行 和 购物 都 非常
GPT_POS_tokenise, 127	市中心 也 能 保持良好 的 休息 氛围 。	酒店	内部 装修 风格 现代 简洁 ， 看起来 很 舒适 并且 具有 高级
GPT_POS_tokenise, 132	稳定 ， 使用 体验 非常 舒适 放心 。	酒店	整体 管理 非常 规范 ， 从 入住 到 离店 都 感受 到
GPT_POS_tokenise, 136	条件 完全 超出 了 我 的 预期 。	酒店	大堂 环境 宽敞明亮 ， 给 人 一种 很 舒适 的 第一印象 。
GPT_POS_tokenise, 143	处 也 打扫 得 非常 干净 到位 。	酒店	位置 靠近 地铁站 ， 出行 去 各个 景点 都 非常 方便快捷 。
GPT_POS_tokenise, 147	起来 感觉 很 干净 也 很 安心 。	酒店	周边环境 安静 ， 没有 嘈杂 声音 ， 非常适合 休息 睡眠 。 前台
GPT_POS_tokenise, 157	需求 时 能够 及时 提供 帮助 支持 。	酒店	整体 氛围 轻松 舒适 ， 让 人 一 进来 就 觉得 很
GPT_POS_tokenise, 163	需求 基本 都 能 及时 得到 解决 。	酒店	整体 环境 维护 得 很 好 ， 走廊 和 公共 区域 都
GPT_POS_tokenise, 167	很 舒服 ， 一夜 都 很 安稳 。	酒店	位置 很 好找 ， 导航 过来 非常 顺利 ， 没有 任何 麻烦
GPT_POS_tokenise, 172	会 主动 问候 ， 体验 很 好 。	酒店	提供 的 基础设施 很 齐全 ， 日常 需求 都 能 满足 。
GPT_POS_tokenise, 179	活动 空间 足够 ， 不会 觉得 拥挤 。	酒店	大堂 很 有 设计 感 ， 进入 后 第一印象 非常 好 。
GPT_POS_tokenise, 183	长时间 休息 也 不会 觉得 不 舒服 。	酒店	整体 氛围 很 安静 ， 非常适合 休息 或 短期 居住 。 服务
GPT_POS_tokenise, 189	长时间 待 着 也 不会 觉得 闷 。	酒店	管理 规范 ， 给 人 一种 很 专业 可靠 的 感觉 。
GPT_POS_tokenise, 196	很 好 ， 水压 稳定 且 舒适 。	酒店	整体 布局合理 ， 动线 清晰 不 容易 迷路 。 客房 隔音 效果
GPT_POS_tokenise, 199	整体 服务 和 环境 都 很 好 。	酒店	细节 处理 得 很 到位 ， 让 人 感受 到 用心 经营
GPT_POS_tokenise, 203	没有 任何 等待时间 ， 体验 很 轻松 。	酒店	整体 氛围 安静 温和 ， 非常适合 放松 休息 。 客房 空间 利用
GPT_POS_tokenise, 207	触感 柔软 ， 睡眠 体验 很 好 。	酒店	周边 交通网络 发达 ， 去 任何 地方 都 比较 快捷 。 卫生间
GPT_POS_tokenise, 212	友善 ， 沟通 起来 非常 自然 顺畅 。	酒店	公共 区域 整洁 明亮 ， 走进 去 就 觉得 很 舒服 。
GPT_POS_tokenise, 217	身体 很 放松 ， 睡得 很 踏实 。	酒店	位置 优越 ， 周围 生活 设施 齐全 很 方便 。 房间 采光
GPT_POS_tokenise, 223	使用 体验 让 人 感觉 很 安心 。	酒店	整体 管理水平 不错 ， 细节 处理 得 比较 到位 。 房间 隔音
GPT_POS_tokenise, 228	实用 ， 住 起来 非常 方便 舒适 。	酒店	整体 环境 维护 良好 ， 看起来 非常 整洁 有序 。 入住 过程
GPT_POS_tokenise, 233	很 好 ， 基本功能 都 很 顺畅 。	酒店	周围环境 安静 ， 没有 噪音 干扰 休息 。 前台 接待 态度 自然
GPT_POS_tokenise, 243	登记 到 进入 房间 几乎 没有 等待 。	酒店	整体 环境 安静 舒适 ， 适合 休息 和 放松 身心 。 客房
GPT_POS_tokenise, 247	感 很 好 ， 睡得 很 踏实 。	酒店	位置 便利 ， 周边 出行 方式 很多 ， 移动 起来 很 轻松
GPT_POS_tokenise, 257	睡 也 不会 感到 疲惫 或 不适 。	酒店	周边 配套 完善 ， 餐饮 和 便利店 都 很 近 。 房间
GPT_POS_tokenise, 263	洗漱 用品 质量 也 比较 令人 放心 。	酒店	管理 有序 ， 整体 给 人 专业 且 可靠 的 感觉 。
GPT_POS_tokenise, 268	， 没有 多余 浪费 空间 的 设计 。	酒店	整体 维护 状态 很 好 ， 看起来 非常 干净 整齐 。 入住
GPT_POS_tokenise, 273	功能齐全 ， 使用 体验 都 很 顺手 。	酒店	周边环境 安静 ， 没有 明显 噪音 影响 休息 。 前台 接待 亲切
GPT_POS_tokenise, 283	非常 高效 ， 没有 任何 多余 等待时间 。	酒店	整体 环境 维护 得 很 好 ， 处处 都 显得 干净 有序
GPT_POS_tokenise, 287	， 睡上去 支撑 感 舒适 且 安稳 。	酒店	所在位置 出行 便利 ， 交通 选择 非常 丰富 。 浴室 设施 干净
GPT_POS_tokenise, 297	下 后 身体 支撑 感 很 好 。	酒店	周边 生活 设施 齐全 ， 日常 需求 都 能 满足 。 房间
GPT_POS_tokenise, 303	干净 整洁 ， 使用 起来 非常 舒适 。	酒店	管理水平 不错 ， 各项 安排 都 比较 合理 。 房间 隔音 效果
GPT_POS_tokenise, 308	实用 ， 住 起来 非常 顺手 自然 。	酒店	整体 维护 很 好 ， 设施 看起来 都 很 新 。 入住
GPT_POS_tokenise, 313	， 日常 使用 功能 都 很 完善 。	酒店	周边环境 安静 ， 没有 噪音 干扰 休息 。 前台 服务态度 自然 亲切
GPT_POS_tokenise, 323	， 几分钟 就 完成 了 全部 流程 。	酒店	整体 环境 维护 得 很 好 ， 看起来 干净 又 有 秩序
GPT_POS_tokenise, 327	舒适 ， 睡眠 质量 明显 提升 不少 。	酒店	位置 很 好 ， 周边 交通 方式 选择 多 而且 便利 。
GPT_POS_tokenise, 337	很 好 ， 睡 起来 很 踏实 。	酒店	周边 配套 完善 ， 日常生活 需求 都 很 方便 。 房间 采光
GPT_POS_tokenise, 343	， 使用 体验 很 好 很 放心 。	酒店	整体 管理 规范 ， 细节 处理 得 比较 用心 。 房间 隔音
GPT_POS_tokenise, 348	简洁 ， 住 起来 非常 顺手 方便 。	酒店	整体 维护 良好 ， 各项 设施 状态 都 很 不错 。 入住
GPT_POS_tokenise, 353	功能齐全 ， 使用 起来 都 很 顺畅 。	酒店	周边环境 安静 ， 非常适合 休息 放松 。 前台 服务 自然 亲切 ，
GPT_POS_tokenise, 363	几乎 没有 等待 就 顺利 拿到 房卡 。	酒店	整体 维护 得 很 好 ， 每个 角落 都 显得 干净 有序
GPT_POS_tokenise, 367	了 一晚 感觉 休息 得 特别 好 。	酒店	位置 便利 ， 出门 就 能 找到 多种 交通 方式 。 浴室
GPT_POS_tokenise, 377	， 支撑 均匀 ， 睡眠 质量 不错 。	酒店	周边 生活 配套 齐全 ， 吃饭 购物 都 很 方便 。 房间
GPT_POS_tokenise, 383	整洁 ， 使用 起来 很 舒适 放心 。	酒店	整体 管理 有序 ， 各项 细节 都 安排 得 比较 到位 。
GPT_POS_tokenise, 388	的 装饰 ， 住 起来 很 方便 。	酒店	整体 维护 状态 很 好 ， 看起来 整洁 又 新 。 入住
GPT_POS_tokenise, 393	， 日常 使用 完全 没有 任何 不便 。	酒店	周围环境 安静 ， 没有 噪音 影响 休息 质量 。 前台 服务 自然
